,NIC,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-11,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28
21,605464719,70002.15,70136.51250000001,70272.5175,70416.35250000001,70561.4325,70693.95000000001,70828.6725,70961.3175,71088.07500000001,71227.50749999999,71373.5475,71516.27249999999,71655.2325,71794.275,71918.0325,72052.7475,72189.67499999999,72336.2325,72477.07500000001,72618.6,72753,72888.2775,73024.7475,73151.8725,73369.95000000001,73524.8325,75228.1875,75305.3175,75408.2775,75617.4,75803.475,76008.0375,76220.7525,411771.39,412653.03,413536.82999999996,414422.61,77261.8725,77435.4,77589.4725,77705.7075,77824.8375,77942.51250000001,78064.95000000001,78229.6275,0,0,0,0,0,79633.50749999999,79767.39749999999,79950.4425,80141.5275,80322.4425,80501.0775,80697.4725,80876.1075,81084.2025,81285.72750000001,81480.6075,82038.6825,82239.8025,82411.4325,82585.47750000001,82808.3175,83003.4825,83200.9275,83415.00749999999,83549.0025,83681.8725,83837.27249999999
22,606562771,116173.10250000001,116173.20749999999,116173.29750000002,116173.39749999999,116173.5,116173.6025,116173.70499999999,116173.79750000002,116173.895,116174.01500000001,116174.13,116174.24,0,116174.44499999999,116174.54000000001,116174.62,116174.7075,116174.81000000001,116174.88249999999,116174.96,116175.055,116175.1675,116175.28,116175.36000000002,116175.465,116175.5625,116176.45000000001,116176.48250000001,116176.5375,116176.65000000001,116176.7525,116176.8425,116176.925,0,116177.1175,116177.19750000001,116177.29999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116178.775,116178.8675,116178.9625,116179.06,116179.14499999999,116179.23499999999,116179.33750000001,116179.44,116179.54999999999,116179.6375,116179.91,116180.005,116180.09999999999,116180.19,116180.29000000001,116180.37749999999,116180.4875,116180.605,116180.6925,116180.78,116180.8675
23,606563558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69954.85375000001,69989.71375,70024.76874999999,70058.94375,70092.48125,70126.61624999999,70165.83625,70206.81625,70246.35875,70281.8825,70389.14875,70427.7375,70468.44625000001,70504.83375,70541.41875000001,70577.4075,70613.12625,70649.755,70688.16750000001,70726.97750000001,70762.59
24,606564335,341181.815,341518.08499999996,341804.835,342100.375,342407.42,342737.57999999996,343039.42000000004,343336.24000000005,343646.05,344000.1,344361.275,344677.675,0,345323.66000000003,345613.225,345881.64,346150.165,346462.275,346715.31000000006,346951.32,347261.25499999995,347603.16000000003,347938.765,348202.72,348517.20999999996,348815.855,351586.09,351697.47,351866.22,352197.68,352514.8,352791.525,353051.82999999996,0,353396.72500000003,353396.72500000003,353396.72500000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003
25,606565012,14757.35875,14757.513125,14757.663125,14757.813750000001,14757.956875,14758.106875000001,14758.256875,14758.405,14758.5625,14758.725,14758.885625,14759.032500000001,0,14759.344375,14759.503125,14759.645625000001,14759.79625,14759.951874999999,14760.089375,14760.22625,14760.373749999999,14760.528125,14760.67375,14760.809375,14760.958125000001,14761.096875,14762.559375,14762.63375,14762.70875,14762.869375,14763.025625,14763.168125,14763.314999999999,0,14763.615,14763.76375,14763.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14766.23875,14766.3825,14766.526875,14766.66875,14766.804375,14766.953125,14767.105625,14767.25,14767.39375,14767.535625,14767.96,14768.105625,14768.2425,14768.383125,14768.528125,14768.669375,14768.821875,14768.975,14769.115,14769.24625,14769.39
26,606566809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289572.38,289664.28,289770.99,289876.5,289943.82999999996,290030.54000000004,290166.93,290263.97,290364.68,290448.4,290735.72,290849.73,290945.96,291060.75,291179.05000000005,291307.74,291423.54000000004,291524.48,291587.52999999997,291679.41000000003,291813.58999999997
27,606567686,549307.53,549501.12,549699.53,549894.9099999999,550069.22,550256.58,550448.27,550641.13,550849.45,551059.9299999999,551266.7,551448.51,0,551855.91,552072.62,552257.59,552459.9099999999,552660.74,552832.3300000001,553008.91,553201.73,553395.02,553567.4299999999,553729.78,553920.26,554082.71,555957.4299999999,556051.4299999999,556151.99,556365.79,556571.45,556751.61,556946.6,0,557331.25,557528.8,557721.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560651.68,560832.14,561012.13,561184.15,561346.89,561534.6799999999,561731.77,561907.93,562077.2999999999,562251.48,562776.8,562956.35,563120.26,563295.87,563473.0700000001,563648.3,563839.27,564027.5,564200.54,564353.63,564535.31
28,606568463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147250.16499999998,147395.70750000002,147535.4775,147677.6325,147795.55,147937.0025,148082.15000000002,148212.3225,148350.6525,148487.025,148900.16249999998,149038.76499999998,149173.7,149315.0275,149467.02000000002,149603.345,149748.23750000002,149887.745,150018.5975,150142.145,150276.7975
29,606569240,60484.59625,60502.57124999999,60524.30750000001,60539.22749999999,60556.01125,60570.6225,60590.816249999996,60607.20125,60620.692500000005,60637.573749999996,60654.42125,60672.88875,60690.2675,60709.69625000001,60729.74125,60745.42,60763.97624999999,60790.27625,60808.68750000001,60825.99625,60842.0375,60857.37875,60874.07625,60874.07625,60889.323749999996,60903.238750000004,61066.131250000006,61074.63875,61083.135,61110.74125,61134.00375,61152.104999999996,0,61185.31375,61199.98625,61216.5875,61238.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61492.85249999999,61508.193750000006,61523.057499999995,61535.868749999994,61547.532499999994,61565.40125,61596.60625,61615.88,61636.825,61649.5975,61698.158749999995,61719.098750000005,61736.77250000001,61751.756250000006,61768.378749999996,61784.541249999995,61800.61625,61826.1275,61841.36625000001,61855.66625,61869.35875
30,606570086,128325.7225,128341.52124999999,128370.05,128379.40499999998,128396.15,128410.38125,128418.21875,128435.19125,128447.61375,128464.47125,128485.93375,128506.57625,128514.06875,128529.7525,128544.2375,128558.0375,128576.505,128595.56125000001,128611.5525,128631.29125000001,128653.62875,128667.2425,128687.01499999998,128687.43,128707.84625,128723.4225,128878.16875,128881.40500000001,128893.6325,128912.27875,128936.665,128957.7275,0,128988.90875,129009.10625,129027.18625,129045.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129326.47374999999,129341.98,129359.30625,129377.58125,129390.89375,129407.94875000001,129436.61875,129460.95999999999,129481.69499999999,129498.77625,129548.60124999999,129566.48999999999,129585.68375,129602.11875000001,129620.5675,129637.62375,129654.19875000001,129673.25374999999,129689.36,129702.74,129718.2
31,606571863,289948.345,289987.675,290029.865,290068.775,290107.375,290142.115,290183.805,290228.88,290266.825,290311.89,290360.20999999996,290407.795,290461.825,290510.92,290562.40499999997,290613.205,290665.94,290718.14999999997,290763.805,290809.58,290856.68,290898.21499999997,290930.48,290958.38,291003.05,291037.455,291489.155,291512.79,291541.67,291602.165,291654.15,291701.20999999996,0,291825.42000000004,291881.475,291939.2,291985.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292671.66500000004,292712.415,292764.08999999997,292805.87,292837.315,292877.445,292926.055,292970.065,293015.27,293055.355,293187.48,293232.545,293274.96499999997,293322.79500000004,293376.835,293429.025,293484.29000000004,293536.605,293571.345,293605.595,293648.255
32,606572640,5498.47,5498.471875,5498.471875,5498.474375,5498.476875,5498.478125,5498.48,5498.483125,5498.485,5498.488125,5498.49125,5498.495,5498.50125,5498.505,5498.510625000001,5498.516875,5498.52125,5498.52375,5498.5275,5498.531875,5498.5356249999995,5498.538125,5498.540625,5498.5443749999995,5498.546875,5498.54875,5498.579375,5498.581875,5498.583750000001,5498.588125,5498.591875,5498.595,0,5498.60875,5498.61375,5498.618750000001,5498.62125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498.662499999999,5498.665,5498.669375,5498.671875,5498.6725,5498.6743750000005,5498.675625000001,5498.677500000001,5498.681875,5498.68375,5498.69125,5498.693125,5498.69625,5498.699375,5498.704375,5498.708750000001,5498.713125,5498.715625000001,5498.715625000001,5498.71625,5498.718750000001
