,NIC,2023-02-08,2023-02-17,2023-02-18,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-24,2023-03-25,2023-03-26,2023-03-27
20,605463932,31366.32125,31889.510625,31889.733125,31943.144999999997,31954.845625,31975.464375000003,0,31988.2725,31988.723125000004,32032.870625,32077.064374999998,32127.108125,32177.435625,32201.451250000002,32227.46375,32273.572500000002,32316.64875,32361.542500000003,32404.166250000002,32453.3875,32501.551874999997,32502.149375,32553.723749999997,32599.42,32660.296875,32726.985,32784.27625,32860.784375,32916.559375,33267.7625,33321.82625,33363.76625,33409.665625,33458.4375,33569.098750000005,33620.51875,33671.280625,33711.29125
21,605464719,7190.71875,8714.474999999999,8715.599999999999,8849.953125,8877.196875000001,8922.037499999999,0,8964.39375,8973.65625,9092.071875000001,9229.396874999999,9357.478125000001,9485.259375000001,9522.412499999999,9608.634375000001,9745.912499999999,9863.278125,9994.415625000001,10153.875,10287.834374999999,10427.118750000001,10429.678124999999,10574.175,10727.41875,10861.2375,11002.556250000001,11139.01875,11299.51875,11440.678124999999,12505.012499999999,12649.875,12802.275000000001,12940.078125,13076.559374999999,13362.675000000001,13496.071875000001,13637.878125000001,13767.159375000001
22,606562771,116136.04750000002,116136.9075,116136.9075,116136.98999999999,116137.005,116137.0325,0,116137.06999999999,116137.06999999999,116137.1575,116137.23749999999,116137.31,116137.39500000002,116137.42499999999,116137.4825,116137.57,116137.665,116137.735,116137.8375,116137.9225,116138.04500000001,116138.04500000001,116138.1325,116138.23750000002,116138.3375,116138.43500000001,116138.535,116138.6325,116138.6975,116139.31,116139.41,116139.495,116139.58,116139.66750000001,116139.85250000001,116139.9325,116140.02249999999,116140.11250000002
23,606563558,53352.619374999995,53756.23,53758.504375,53799.266875,53813.974375,53824.846875,0,53837.556874999995,53842.4425,53881.703125,53920.94,53957.09125,53996.011875,54013.363125,54036.49,54079.45,54126.22687499999,54166.17875,54207.834375,54248.140625,54287.485,54294.33375,54328.263125,54373.114375000005,54417.215,54456.270625,54494.888125,54535.97375,54572.399999999994,54888.785625000004,54932.208125,54978.42875,55023.035,55063.899375,55142.59375,55182.440625,55224.7425,55271.917499999996
24,606564335,224233.3975,227018.59250000003,227019.62,227286.07,227339.0125,227436.8775,0,227533.33000000002,227536.49250000002,227828.99,228094.5825,228338.72749999998,228618.27250000002,228717.3,228902.865,229186.775,229481.97999999998,229714.68000000002,230040.7825,230313.3875,230680.71500000003,230684.87,230964.93500000003,231297.71500000003,231611.3575,231915.0675,232233.83250000002,232531.335,232758.1625,234794.43000000002,235103.27750000003,235380.4625,235649.81,235939.18,236526.30749999997,236809.91749999998,237103.4375,237382.85749999998
25,606565012,14701.508125,14702.891875,14702.895,14703.030625,14703.067500000001,14703.111874999999,0,14703.1525,14703.16,14703.3,14703.435625,14703.555,14703.69625,14703.751250000001,14703.839375,14703.9825,14704.11875,14704.25375,14704.398125,14704.536875,14704.685,14704.695625,14704.828125,14704.97625,14705.110625000001,14705.250625,14705.388125000001,14705.526875,14705.65375,14706.706875,14706.845625,14706.9725,14707.1,14707.2375,14707.51125,14707.64625,14707.783125000002,14707.9125
26,606566809,263533.315,263840.33999999997,263840.57,263861.205,263864.635,263872.20999999996,0,263879.695,263880.19,263901.17,263920.29500000004,263934.215,263948.08,263951.775,263963.145,263985.065,264002.865,264023.6,264046.66,264070.78,264086.02,264086.94,264103.13,264122.63,264139.275,264151.09500000003,264164.66000000003,264182.07999999996,264194.75,264279.725,264292.225,264299.82,264307.83999999997,264316.79000000004,264336.46499999997,264345.455,264354.685,264362.81
27,606567686,481357.9,483045.28,483045.28,483203.48,483228.79,483296.12,0,483351.54,483351.54,483519.08,483685.69,483815.87,483988.45000000007,484046.75,484166.82000000007,484345.07999999996,484499.98,484669.96,484841.74,485008.78,485179.97,485179.97,485358.89999999997,485537.72,485685.98,485853.45999999996,486010.92000000004,486176.33,486323.32,487547.39999999997,487707.64,487845.79000000004,487989.39,488155.07999999996,488477.43999999994,488634.32999999996,488794.01,488935.19
28,606568463,99811.82,99812.055,99812.055,99812.075,99812.08125,99812.0875,0,99812.09625,99812.09875,99812.11875,99812.13625000001,99812.14875,99812.1675,99812.17125,99812.18375,99812.20499999999,99812.23000000001,99812.2525,99812.27375000001,99812.29375,99812.31,99812.3125,99812.32999999999,99812.35250000001,99812.37375,99812.38875000001,99812.40125,99812.4225,99812.435,99812.555,99812.57375000001,99812.59375,99812.61125,99812.82875,99817.89125,99821.73125,99826.62,99832.97125
29,606569240,56021.6575,56180.558750000004,56180.561250000006,56194.47750000001,56196.585625,56202.42687499999,0,56206.71875,56206.72125,56221.028125,56234.199375000004,56245.706874999996,56260.003124999996,56265.345624999994,56275.161250000005,56290.145000000004,56302.061250000006,56318.103125,56332.134375,56346.298124999994,56360.798125,56360.79875,56378.605625000004,56399.620625,56411.660625000004,56425.643749999996,56440.200625000005,56453.7,56465.4575,56567.925,56581.664375,56593.553125000006,56605.061875,56619.322499999995,56648.12375,56660.959375,56678.015625,56690.55374999999
30,606570086,122381.31,122584.37437500001,122584.459375,122604.90125,122607.085625,122617.99250000001,0,122629.2925,122629.483125,122645.62125,122663.536875,122675.60749999998,122691.155,122694.333125,122713.364375,122741.71812499998,122764.068125,122785.453125,122803.964375,122822.94937500001,122839.28,122839.535,122865.453125,122888.644375,122904.85375000001,122920.376875,122939.49187499999,122974.480625,122987.88500000001,123116.43812499999,123135.778125,123153.6775,123174.61124999999,123192.1825,123227.9425,123246.2825,123269.46812499998,123288.3325
31,606571863,287127.47000000003,287127.47000000003,287127.47000000003,287127.47000000003,287127.47000000003,287127.47000000003,0,287127.47000000003,287127.47000000003,287127.47000000003,287127.475,287127.475,287127.475,287127.475,287127.475,287127.475,287127.475,287127.475,287127.48,287127.48,287127.48,287127.48,287127.48,287127.48,287127.48,287127.48,287127.48,287127.485,287127.485,287127.495,287127.495,287127.495,287127.495,287127.495,287127.495,287127.495,287127.495,287127.495
32,606572640,4881.376875,4908.474375,4908.53,4911.455,4912.4243750000005,4913.366875,0,4914.154375,4914.271875,4916.92625,4919.508125,4921.8081250000005,4924.19125,4924.9243750000005,4926.551875000001,4928.936250000001,4930.874375,4933.17125,4934.967500000001,4937.200625,4939.54625,4939.54625,4942.001875,4944.3575,4946.285625,4948.6118750000005,4950.904375,4953.185,4955.225625000001,4973.58125,4976.515625000001,4978.965,4981.465625,4984.260625,4989.670625,4992.314375000001,4995.24875,4997.608125
33,606573427,71956.4575,72199.1125,72199.2675,72225.6575,72226.98625,72239.24125,0,72250.14749999999,72250.17,72265.42125,72271.4575,72281.9425,72315.04875,72324.06875,72351.54000000001,72383.95875,72412.82,72447.74375,72481.28375,72503.51000000001,72535.11,72535.545,72565.24625,72601.73625,72622.76000000001,72637.4275,72656.77249999999,72675.25875,72681.59125,72794.9725,72810.47875,72823.3475,72834.50875000001,72851.25125,72880.235,72892.47625,72909.225,72918.345
34,606574204,212382.675,213109.33000000002,213109.35,213175.05000000002,213189.55,213213.575,0,213236.03,213236.08,213305.73,213372.15999999997,213430.49,213502.325,213533.7,213583.52000000002,213659.15000000002,213722.06,213803.88,213887.25,213973.785,214058.55,214058.615,214139.435,214220.08000000002,214276.55000000002,214350.205,214416.84,214497.91499999998,214569.32499999998,215091.33,215162.305,215217.24000000002,215272.59,215344.25,215485.985,215556.27500000002,215627.33500000002,215683.355
35,606575991,85670.925,85933.04,85933.10124999999,85954.845,85958.38875,85973.27500000001,0,85981.00625,85981.12875,86005.8475,86029.9375,86045.65625,86072.56375,86080.92,86101.065,86128.70250000001,86154.1575,86183.18625,86209.01625,86236.60875,86263.32875,86263.4975,86291.7475,86320.4525,86339.12999999999,86364.71625,86387.6675,86413.71375,86428.24,86584.62999999999,86607.81,86630.5975,86655.5425,86680.76875,86725.41375,86733.8725,86753.04875,86773.19875
36,606576778,124501.5675,124990.2675,124990.32999999999,125028.1075,125033.5775,125052.8325,0,125070.61499999999,125070.64249999999,125117.34749999999,125163.72,125205.705,125253.055,125264.92,125299.6875,125351.595,125396.0175,125443.3025,125489.0575,125530.125,125586.7475,125586.975,125638.9025,125691.1775,125730.9625,125777.34000000001,125825.0175,125878.29249999998,125919.38,126236.655,126284.98249999998,126329.4975,126382.97,126454.83,126553.085,126600.61499999999,126650.8425,126691.32749999998
37,606577555,51084.5,51177.341875,51177.378125,51188.609375,51189.6725,51195.0925,0,51197.97562500001,51198.08750000001,51206.1375,51216.4875,51223.85375,51230.914375,51232.97125,51239.7125,51249.5,51261.695,51272.89562499999,51283.08125,51293.80499999999,51305.15375,51305.255,51319.77124999999,51341.360625,51351.764375000006,51363.56125,51372.784374999996,51382.7525,51390.06124999999,51459.406875,51470.60125,51478.95124999999,51486.083125000005,51499.30562499999,51517.279375,51523.348125,51530.49625,51538.08125
38,606578332,17.019375,17.089374999999997,17.089374999999997,17.095625,17.096249999999998,17.101875,0,17.104374999999997,17.104374999999997,17.110625,17.1175,17.121875,17.129375,17.131875,17.138125,17.145625,17.153125,17.16125,17.168125,17.17625,17.18375,17.184375,17.192500000000003,17.204375,17.21,17.216875,17.223125,17.23125,17.235,17.278750000000002,17.287499999999998,17.29375,17.30125,17.30875,17.32375,17.326875,17.3325,17.338125
39,606579119,169342.2575,169852.26,169855.405,169909.9875,169924.2175,169940.20750000002,0,169956.575,169963.15,170001.97999999998,170038.48249999998,170073.43,170114.40749999997,170128.3,170161.2525,170224.70750000002,170285.915,170325.78,170365.79,170409.015,170446.96000000002,170453.1825,170505.43,170560.85,170619.0675,170658.94,170691.9075,170725.46,170755.8725,171033.375,171069.6925,171109.695,171155.6875,171202.4675,171270.78,171309.89500000002,171351.54750000002,171390.685
40,606580955,1753.1812499999999,1753.183125,1753.183125,1753.183125,1753.183125,1753.183125,0,1753.183125,1753.183125,1753.183125,1753.184375,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.185,1753.186875,1753.1875,1753.1906249999997,1753.1906249999997,1753.1906249999997,1753.1925,1753.1925,1753.1943749999998,1753.1943749999998,1753.198125,1753.198125,1753.198125,1753.198125
41,606581732,343806.48,344468.29000000004,344468.29000000004,344515.35,344525.28,344552.31,0,344571.01,344571.01,344631.68,344695.63,344728.0,344778.31,344798.01,344836.19,344904.55,344959.05,345024.72,345081.62,345139.77,345230.53,345230.53,345313.99,345380.44,345425.58999999997,345497.08,345557.95999999996,345636.29000000004,345672.98,346063.72,346127.13,346168.77,346219.51,346295.0,346378.26,346435.08,346495.74,346527.44
42,606582519,155251.16,155752.035,155752.035,155815.825,155822.975,155839.52500000002,0,155856.145,155856.155,155910.41,155963.98,156001.3,156061.98,156082.125,156126.245,156182.675,156246.605,156304.64,156369.10499999998,156404.665,156445.98,156445.98,156498.485,156562.485,156592.445,156624.43,156649.735,156691.945,156701.03,156948.925,156981.75,157029.56,157076.525,157137.49,157221.125,157239.58000000002,157280.8,157313.47
43,606583306,69512.4675,69850.28,69850.62,69883.2525,69886.9825,69900.73874999999,0,69910.47875,69910.6225,69945.04874999999,69976.88125,69999.17874999999,70032.29125,70046.15000000001,70071.05375,70107.885,70139.92875,70172.37625,70206.82875,70239.77875,70273.75625,70273.95,70309.61499999999,70346.43,70375.21375,70408.9,70440.12625,70475.1625,70500.4225,70736.995,70771.8275,70800.36875,70829.86125,70862.1025,70923.56375,70952.945,70988.9425,71017.145
44,606584183,400315.85625,401628.8325,401631.415,401726.78375,401747.97875,401779.15249999997,0,401801.0075,401806.29875,401929.855,402055.80125,402162.68875,402287.515,402346.8325,402418.22625,402559.10875,402648.63999999996,402789.63125000003,402915.61,403031.67374999996,403166.00375,403171.77499999997,403316.25125000003,403487.96499999997,403596.495,403758.62499999994,403895.69625,404037.31499999994,404132.17125,404866.9,404970.60875,405051.70625,405142.69625000004,405272.70875,405545.06250000006,405621.0025,405708.885,405784.92875
45,606585860,38.68875,38.779375,38.779375,38.785625,38.785625,38.788125,0,38.789375,38.789375,38.794375,38.80375,38.805625,38.814375,38.818125,38.824375,38.834375,38.84,38.849375,38.858125,38.86625,38.875,38.875,38.88375,38.8925,38.896875,38.905,38.909375,38.918125,38.924375,38.969375,38.978125,38.983125,38.99,38.9975,39.019375,39.02375,39.02875,39.03375
46,606586647,74.77875,74.99562499999999,74.99624999999999,75.0125,75.015625,75.02375,0,75.026875,75.0275,75.050625,75.07,75.083125,75.10499999999999,75.115625,75.12937500000001,75.155,75.17125,75.19687499999999,75.22,75.24125000000001,75.265625,75.266875,75.291875,75.32062499999999,75.33812499999999,75.363125,75.38000000000001,75.40125,75.415,75.54375,75.5625,75.57624999999999,75.59,75.611875,75.65625,75.670625,75.686875,75.700625
47,606587424,30954.548125,30954.55,30954.55,30954.55,30954.55,30954.55,0,30954.55,30954.55,30954.55,30954.55,30954.550625,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.551874999997,30954.55375,30954.55375,30954.555,30954.555,30954.555,30954.555625,30954.555625,30954.557499999995,30954.557499999995,30954.558749999997,30954.559999999998,30954.559999999998,30954.559999999998
48,606588201,6731.666875,6731.6675,6731.6675,6731.6675,6731.6675,6731.6675,0,6731.6675,6731.6675,6731.6675,6731.6675,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.668125,6731.66875,6731.66875,6731.67,6731.67,6731.67,6731.670625,6731.670625,6731.671249999999,6731.671249999999,6731.6725,6731.6725,6731.6725,6731.6725
49,606589098,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,0,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725
50,606590824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,606591601,34.003125,34.075,34.075,34.083125,34.085625,34.087500000000006,0,34.089375000000004,34.090625,34.0975,34.104375,34.1125,34.11875,34.123125,34.126875,34.135,34.143125,34.149375,34.1575,34.164375,34.17125,34.1725,34.17875,34.18625,34.19375,34.200625,34.207499999999996,34.215,34.22125,34.276875,34.284375,34.291875,34.299375,34.305625,34.319374999999994,34.325625,34.333124999999995,34.34
52,606592498,11.631875,11.675625,11.675625,11.679375,11.680625,11.681875,0,11.682500000000001,11.683125,11.686250000000001,11.69125,11.695,11.698125000000001,11.7,11.70375,11.7075,11.712499999999999,11.716249999999999,11.721875,11.725624999999999,11.729375000000001,11.729375000000001,11.734375,11.739374999999999,11.743125,11.74625,11.750625,11.754999999999999,11.7575,11.785,11.78875,11.793125,11.796875,11.8025,11.809999999999999,11.813125,11.816875,11.820625
53,606593275,498027.86,499388.98000000004,499390.16000000003,499534.89999999997,499554.18999999994,499606.07999999996,0,499674.62,499680.31999999995,499790.56000000006,499897.5,499995.0399999999,500101.7,500127.78,500266.66,500508.62,500769.76,500884.1,501025.12,501128.34,501252.52,501256.0,501431.17999999993,501666.61999999994,501887.9,502000.4,502095.23,502212.04,502305.39,503262.54000000004,503519.74,503711.62,503931.69999999995,504046.38,504248.44000000006,504356.06,504591.94,504817.42
54,606594052,64004.84125,64182.50375,64183.365000000005,64204.34,64210.7675,64215.72,0,64222.1475,64224.043750000004,64241.07375,64258.87125,64274.792499999996,64288.79375,64297.25625,64310.1575,64332.3075,64355.91625,64371.396250000005,64390.77875,64407.551250000004,64422.0825,64423.35,64439.61749999999,64460.48375,64482.32250000001,64496.00375,64512.53999999999,64528.46000000001,64540.088749999995,64668.66,64689.99875,64709.6275,64731.49375,64749.49,64777.565,64791.306249999994,64811.677500000005,64831.338749999995
55,606597303,278557.6,278830.495,278830.63,278859.125,278862.515,278872.945,0,278881.88,278882.16,278909.6,278939.57,278965.815,278991.74,279000.225,279019.39,279046.71499999997,279070.01,279125.985,279186.895,279242.1,279297.155,279297.55500000005,279358.27999999997,279422.105,279448.47000000003,279476.53500000003,279505.105,279532.26,279554.425,279774.375,279802.625,279825.555,279849.195,279879.845,279933.02,279966.785,279994.56,280017.95
56,INTMT_2818,443133.37000000005,484660.0,484730.38,488640.72,489462.62,490817.28,492122.66000000003,492126.58,492313.59,496028.95999999996,499972.92000000004,503406.72,507385.18,508778.74,511465.99000000005,515810.17000000004,519949.83,523967.27,528116.55,532155.2999999999,536456.66,536669.14,540993.98,545801.38,549811.5,554015.66,557917.54,562057.5,565514.14,594596.44,598716.9400000001,602580.14,606416.06,610391.02,618056.7,621643.22,625804.86,629662.38
