,NIC,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-07,2022-06-13,2022-06-20,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-24
27,606571863,275051.975,275111.115,275163.235,275234.35,275300.445,275357.735,275443.675,275513.36,275575.03500000003,275633.19,276880.91500000004,276950.825,277009.06,277064.01,277115.61,277156.36,277240.995,277293.46499999997,277347.065,277397.745,277514.675,277851.955,278284.18,278646.725,278705.905,278751.685,278783.265,278841.635,278889.155,278939.905,279000.265,279059.195,279117.21,279205.285,280167.895
28,606572640,4550.81,4551.885,4552.70125,4553.879375,4554.943125,4555.971875,4557.140625,4558.0981249999995,4559.240625,4559.998125,4581.45625,4582.80875,4583.998125,4585.196875,4586.083125,4587.118125,4588.244374999999,4589.04,4589.993125,4591.16,4593.549375,4599.883125,4607.636875,4614.1025,4615.410000000001,4616.62875,4617.788749999999,4619.07125,4620.12,4621.105625,4622.0425000000005,4623.057500000001,4623.633749999999,4624.5512499999995,4638.3481249999995
29,606573427,65462.70875,65476.645,65483.4075,65495.57875,65517.34875,65537.61875,65556.63,65582.965,65600.93625,65610.11875,66056.16375,66081.63375,66116.62,66135.29875,66155.65375,66171.32625,66190.2875,66214.815,66239.48,66270.29375,66324.8575,66482.37125,66709.615,66900.36875,66933.49250000001,66966.59625,67000.9025,67036.36,67069.95375,67107.9975,67138.4325,67156.23625,67171.71625,67190.88500000001,67549.29125
30,606574204,194139.64,194209.49,194260.88,194325.725,194383.385,194435.01,194500.215,194563.30500000002,194628.22,194689.75999999998,196072.90999999997,196141.285,196210.55,196265.505,196315.275,196372.85499999998,196437.97000000003,196496.58000000002,196552.225,196615.68,196736.545,197099.93,197539.365,197960.44,198010.7,198074.97,198135.945,198198.89500000002,198260.17500000002,198328.11000000002,198380.3,198431.90499999997,198498.97999999998,198572.52,199605.46
31,606575991,79845.12125,79871.94625000001,79881.875,79897.1575,79917.79000000001,79942.0775,79970.36249999999,79999.78749999999,80027.94625,80036.8475,80445.4075,80469.64125,80494.39,80509.2175,80518.02,80533.23375,80551.615,80562.56625,80572.72125,80594.96125000001,80628.76999999999,80736.47750000001,80889.90625,81010.81625,81025.22875,81049.56125,81068.08875,81092.01625,81111.73000000001,81135.3975,81158.205,81178.2575,81205.375,81234.44750000001,81563.8325
32,606576778,111263.6525,111306.43,111343.0925,111387.9625,111429.22,111467.6375,111513.45499999999,111559.26000000001,111606.4,111656.79500000001,112628.755,112676.005,112726.2475,112769.20250000001,112807.92499999999,112852.655,112900.1075,112944.19750000001,112990.26,113038.8675,113133.7025,113408.17250000002,113750.64249999999,114060.8675,114105.26250000001,114150.5325,114195.9425,114242.825,114291.0825,114342.3675,114384.415,114426.79250000001,114473.1825,114522.2525,115318.2275
33,606577555,47357.454999999994,47367.238125,47375.015625,47381.0625,47389.456875,47406.71125,47421.895625,47443.92125,47462.415624999994,47479.405625,47922.965,47938.099375000005,47958.061250000006,47977.636249999996,47989.283124999994,48001.090625000004,48014.910625000004,48027.278750000005,48040.43625,48055.01875,48098.24937500001,48174.673749999994,48331.989375,48434.317500000005,48442.536250000005,48465.581875,48485.34,48500.275,48506.745625,48517.823124999995,48527.699375,48533.66875,48552.27,48563.021875000006,48861.611249999994
34,606578332,15.07625,15.085625,15.088125000000002,15.091875,15.096250000000001,15.1075,15.119375,15.13125,15.145624999999999,15.149375,15.338124999999998,15.346250000000001,15.355625,15.361875,15.364999999999998,15.369375,15.378125,15.381875,15.386249999999999,15.396250000000002,15.4125,15.452499999999999,15.51625,15.561874999999999,15.5675,15.578125,15.585625,15.596875,15.603749999999998,15.611875,15.618125000000001,15.624375,15.634375,15.6425,15.765625
35,606579119,157311.6825,157349.93,157382.02500000002,157419.8,157465.6275,157516.15250000003,157558.885,157603.01,157648.28,157690.155,158554.3175,158576.21000000002,158608.97,158645.2875,158676.5225,158707.35499999998,158741.9525,158777.59500000003,158812.1775,158852.0125,158941.255,159186.3525,159506.135,159803.22749999998,159844.66749999998,159894.25,159935.885,159979.6025,160023.0875,160069.54499999998,160116.46250000002,160164.725,160206.21000000002,160251.83000000002,160939.1575
36,606580955,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.145625,1753.145625,1753.145625,1753.145625,1753.145625,1753.145625,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.1493750000002,1753.15125,1753.15125,1753.15125,1753.15125,1753.15125,1753.15125,1753.15125,1753.153125,1753.153125,1753.153125,1753.153125,1753.153125,1753.153125,1753.155
37,606581732,326084.47,326142.08999999997,326186.86,326246.55,326306.15,326357.59,326428.13,326498.14,326554.79000000004,326601.93,327892.25,327948.65,328006.46,328059.76,328095.85,328130.68,328177.9,328234.25,328284.11,328344.44,328430.25,328724.53,329107.86,329444.66000000003,329485.6,329539.77,329596.03,329657.63,329712.99,329774.19,329830.92000000004,329877.85,329952.36,330016.04,331265.2
38,606582519,147982.03999999998,148000.09,148018.175,148036.25,148069.03000000003,148083.335,148100.125,148124.095,148146.61500000002,148159.87,148610.81,148648.255,148672.53,148691.93,148715.595,148734.855,148766.2,148788.57,148807.785,148827.665,148878.475,149052.225,149237.86,149405.825,149424.505,149456.98,149486.245,149514.06,149542.76,149568.1,149592.53,149620.85,149645.785,149662.80000000002,150103.48500000002
39,606583306,61476.29625,61501.05125,61520.166249999995,61544.96875,61567.60875,61588.087499999994,61613.34375,61639.45125,61665.89124999999,61690.707500000004,62208.177500000005,62238.557499999995,62263.912500000006,62287.3075,62309.035,62331.134999999995,62358.4,62381.1375,62404.76625,62428.99625000001,62491.088749999995,62665.942500000005,62881.96124999999,63094.04875,63122.9525,63154.4175,63185.365000000005,63216.905,63252.385,63285.68,63314.34125,63341.97749999999,63373.53874999999,63411.192500000005,63950.72625000001
40,606584183,363432.37937499996,363574.54687500006,363707.41374999995,363838.98312499997,363972.258125,364070.3475,364217.0325,364373.14625,364524.7675,364665.8125,367456.655,367591.66500000004,367728.3125,367830.33187500003,367925.6025,368074.48,368179.826875,368313.8175,368442.123125,368567.40750000003,368800.60812499997,369576.22437500005,370542.525625,371365.91124999995,371465.540625,371604.81937499996,371740.895625,371884.53,372029.10124999995,372164.0075,372261.935625,372361.93125,372522.319375,372677.405625,374984.860625
41,606585860,37.13375,37.140625,37.145624999999995,37.150625,37.156875,37.16,37.1675,37.175,37.181875000000005,37.1875,37.306250000000006,37.3125,37.31875,37.3225,37.325625,37.332499999999996,37.338125,37.344375,37.35,37.355625,37.364999999999995,37.39625,37.439375,37.473124999999996,37.4775,37.48375,37.490625,37.4975,37.504375,37.510625000000005,37.514375,37.518125,37.525625,37.5325,37.63125
42,606586647,68.82625,68.84875,68.868125,68.890625,68.911875,68.92937500000001,68.953125,68.978125,69.0025,69.024375,69.476875,69.494375,69.516875,69.533125,69.548125,69.57125,69.59125,69.613125,69.63312499999999,69.655625,69.698125,69.8275,69.995,70.13625,70.155625,70.17999999999999,70.20375,70.228125,70.253125,70.2775,70.295625,70.313125,70.339375,70.3675,70.760625
43,606587424,30954.505625,30954.505625,30954.505625,30954.505625,30954.506250000002,30954.507500000003,30954.507500000003,30954.507500000003,30954.507500000003,30954.507500000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511250000003,30954.511874999997,30954.513124999998,30954.513124999998,30954.513124999998,30954.513124999998,30954.513124999998,30954.513124999998,30954.51375,30954.515,30954.515,30954.515,30954.515,30954.515,30954.515625
44,606588201,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.65,6731.65,6731.65,6731.65,6731.65,6731.65,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651250000001,6731.651875,6731.651875,6731.651875,6731.651875,6731.651875,6731.651875,6731.651875,6731.6525,6731.6525,6731.6525,6731.653125,6731.653125,6731.653125,6731.65375
45,606589098,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725
46,606590824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,606591601,31.571250000000003,31.579375,31.590000000000003,31.601875,31.615000000000002,31.6275,31.638125000000002,31.64875,31.660625,31.67125,31.913125,31.923750000000002,31.93625,31.94875,31.96125,31.97125,31.983125,31.994374999999998,32.00625,32.018125,32.04625,32.120000000000005,32.19125,32.2475,32.254999999999995,32.2625,32.270625,32.279375,32.286875,32.295625,32.30375,32.311875,32.32,32.32875,32.4625
48,606592498,9.745625,9.746875,9.749375,9.751875,9.756250000000001,9.760000000000002,9.763125,9.765625,9.769375,9.771875000000001,9.84,9.842500000000001,9.845625,9.85,9.85375,9.85625,9.859375,9.863125,9.865625,9.869375,9.87875,9.9025,9.951875,10.00625,10.014375,10.02375,10.031875,10.040624999999999,10.049375000000001,10.058125,10.067499999999999,10.076250000000002,10.084375000000001,10.095,10.228125
49,606593275,455378.98,455505.07999999996,455623.25999999995,455763.52,456018.57999999996,456173.6,456299.74,456455.24,456565.72000000003,456666.94,459481.26,459601.38,459749.18000000005,459898.82000000007,460108.56,460213.68,460320.36,460423.34,460537.14,460718.84,460983.95999999996,461997.63,462997.02,464136.62,464279.26,464430.9,464581.48,464724.24,464895.74,465108.32,465265.78,465486.24,465686.64,465839.36,468384.28
50,606594052,58312.26125,58323.96625,58339.7475,58356.86375,58378.40875,58399.556249999994,58414.8775,58431.7675,58449.87125,58466.02375,58844.765,58862.61,58883.06375,58904.68875,58924.988750000004,58938.31625,58956.775,58975.9775,58994.20375,59013.65125,59061.0275,59183.57,59333.49875,59478.3125,59500.345,59521.1575,59542.3925,59565.39750000001,59589.32125000001,59613.307499999995,59635.51625,59659.6725,59683.5225,59707.448749999996,60038.29625
51,606597303,267918.305,267961.69999999995,267992.745,268037.16000000003,268075.825,268113.485,268156.34,268204.495,268248.225,268290.95999999996,269188.67000000004,269247.72,269293.12,269330.495,269367.365,269418.66000000003,269455.685,269498.125,269541.11,269587.755,269662.8,269912.505,270194.115,270456.105,270488.96,270528.585,270577.75,270616.695,270654.395,270694.28,270727.33999999997,270762.43,270802.4,270848.62,271502.66
52,INTMT_2818,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,0,0,0,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,0,0
