,NIC,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09
25,606565012,14686.891875,14687.010624999999,14687.1375,14687.26375,14687.380000000001,14687.506875000001,14687.642500000002,14687.79,14687.91875,14688.05625,14688.196875,14688.325625,14688.45875,14688.59,14688.728125,14688.851875,14688.983124999999,14689.115000000002
26,606566809,256270.025,256324.565,256388.76999999996,256454.85499999998,256515.87,256583.765,256641.64,256699.445,256758.2,256828.90499999997,256890.57,256953.135,257014.805,257082.65000000002,257153.14,257214.64,257271.51499999998,257331.505
27,606567686,464429.28,464569.75999999995,464730.77,464894.19,465034.67000000004,465187.76,465349.35,465527.12999999995,465661.97,465825.43,465987.87,466132.45,466283.64,466441.37,466599.51,466732.31000000006,466878.47000000003,467033.27
28,606568463,99796.9925,99797.02375,99797.0575,99797.09,99797.11499999999,99797.14749999999,99797.17625,99797.20624999999,99797.24125,99797.2775,99797.3075,99797.33875,99797.37125,99797.4,99797.43375,99797.465,99797.50125,99797.53125
29,606569240,54272.799375,54289.953125,54306.416874999995,54322.559375,54336.079375,54350.881875,54370.034375,54387.945625,54405.31875,54426.35124999999,54445.376875,54463.34937499999,54481.81875,54505.60062499999,54522.4825,54535.729375,54549.275,54565.028125
30,606570086,120294.5825,120312.60875,120331.810625,120348.0325,120356.979375,120378.055625,120395.72312499999,120417.626875,120435.890625,120451.96,120471.88749999998,120480.8725,120489.899375,120509.12375000001,120526.99875,120543.58499999999,120558.1875,120572.23250000001
31,606571863,285596.895,285650.2,285703.71,285756.70999999996,285804.49,285858.495,285908.02,285961.53,286014.86,286069.955,286124.575,286170.695,286224.31,286278.74,286328.655,286383.575,286439.25,286493.395
32,606572640,4646.107499999999,4646.108125,4646.11,4646.113125,4646.114375,4646.115625,4646.1175,4646.11875,4646.119374999999,4646.12125,4646.121875,4646.123125,4646.125,4646.125625,4646.126875,4646.1275,4646.129375,4646.206875
33,606573427,69600.52875,69622.005,69650.96875,69666.63,69673.27625,69687.06874999999,69706.11125,69723.81625,69745.05,69767.9,69799.67125,69805.88625000001,69812.84,69831.13625000001,69848.23625,69868.41875,69895.32375,69901.20499999999
34,606574204,205697.46000000002,205749.745,205812.05,205882.12,205936.185,206003.935,206068.96000000002,206127.55,206177.75999999998,206246.88999999998,206309.76,206363.6,206425.3,206486.93,206545.205,206595.53499999997,206650.875,206711.62
35,606575991,83489.88875,83505.31125,83524.4175,83541.8675,83551.08124999999,83565.2275,83579.30625,83593.16875,83606.8075,83637.59375,83663.5075,83675.85875,83697.1375,83721.5025,83736.98375,83748.9625,83771.9275,83793.89000000001
36,606576778,119581.88249999999,119623.9475,119670.38500000001,119718.495,119759.2425,119804.97,119823.95499999999,119842.82250000001,119858.5925,119904.66500000001,119951.55000000002,119993.33750000001,120039.26999999999,120086.79500000001,120134.0725,120174.7525,120216.97750000001,120264.08000000002
37,606577555,50091.1325,50112.05875,50122.978125,50136.551875000005,50144.496250000004,50153.523125,50165.11749999999,50173.07375,50194.19,50211.064375,50231.275,50237.72625,50245.174375,50251.941875,50272.06,50281.07062499999,50306.206874999996,50319.21625
38,606578332,16.373125,16.379375,16.384999999999998,16.39,16.393125,16.396874999999998,16.401875,16.405625,16.41125,16.42125,16.43,16.43375,16.439375,16.445625,16.451249999999998,16.455,16.46375,16.47
39,606579119,164585.24,164632.66000000003,164665.0075,164700.2425,164731.48249999998,164765.01,164807.27,164853.6875,164904.0625,164951.935,164989.1925,165028.885,165071.1,165111.41999999998,165156.2425,165201.61,165248.8025,165288.32
40,606580955,1753.171875,1753.171875,1753.171875,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002,1753.1737500000002
41,606581732,336903.94,336947.0,337002.74,337054.0,337077.07,337121.96,337217.29,337285.89,337353.95,337441.43000000005,337543.92,337628.87,337679.48,337771.49,337838.15,337904.03,337986.71,338056.71
42,606582519,152412.735,152421.375,152430.865,152440.87,152452.09,152460.80000000002,152470.265,152479.505,152487.805,152498.92500000002,152508.93,152528.165,152539.195,152548.375,152557.72,152571.46,152587.135,152607.29499999998
43,606583306,66693.685,66713.31,66737.45375,66762.98999999999,66783.3425,66817.64499999999,66849.26375,66873.5025,66899.23000000001,66928.6025,66961.0,66990.91625,67021.40375,67054.06125,67085.54375000001,67107.945,67134.95000000001,67163.0525
44,606584183,386822.070625,386914.19749999995,387035.44875000004,387169.323125,387288.8975,387415.4125,387541.1125,387657.640625,387730.51312500006,387858.57125,387989.65625,388116.02749999997,388246.86124999996,388370.72000000003,388494.285,388581.203125,388682.35874999996,388818.19875000004
45,606585860,38.171875,38.174375,38.179375,38.18375,38.188125,38.193125,38.198125,38.201875,38.20625,38.211875,38.218125,38.2225,38.228125,38.233125,38.238125,38.240625,38.244375,38.25
46,606586647,72.80499999999999,72.82,72.84125,72.86250000000001,72.88187500000001,72.905,72.92875,72.948125,72.965,72.98875,73.0125,73.03562500000001,73.059375,73.083125,73.105625,73.12125,73.139375,73.16312500000001
47,606587424,30954.54,30954.54,30954.54,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625,30954.540625
48,606588201,6731.660625,6731.660625,6731.660625,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661249999999,6731.661875,6731.661875,6731.661875
49,606589098,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725
50,606590824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,606591601,33.1725,33.180625,33.188125,33.19625,33.2025,33.210625,33.218125,33.225624999999994,33.235,33.243125,33.251875,33.25875,33.26625,33.274375,33.281875,33.29,33.2975,33.305
52,606592498,10.969999999999999,10.978750000000002,10.986875,10.99375,10.999375,11.00625,11.013125,11.02125,11.030000000000001,11.040625,11.050625,11.056875000000002,11.063749999999999,11.070625,11.076875000000001,11.084375000000001,11.090625,11.098125
53,606593275,482034.0800000001,482177.62,482271.1,482399.24,482487.88,482579.9,482719.02,482854.7,483030.57999999996,483267.88,483367.38,483460.9,483561.76,483727.22,483852.67999999993,484065.81999999995,484223.7,484320.18
54,606594052,61749.83,61771.636249999996,61788.54625,61804.229999999996,61818.64875,61834.75,61853.31375,61874.2725,61903.463749999995,61932.4675,61953.85125000001,61969.067500000005,61985.625,62004.54125,62026.02125,62050.136249999996,62071.901249999995,62091.10124999999
55,606597303,275112.875,275154.535,275202.56999999995,275252.49,275288.13,275331.155,275380.795,275423.30000000005,275459.24,275514.185,275566.335,275595.29000000004,275623.325,275652.185,275682.385,275708.1,275732.71499999997,275764.25
56,INTMT_2818,8212.359375,11892.796875,15728.578125,19638.375,22914.328125,26703.890625,30639.5625,34681.7825,38663.6725,43067.67125,47254.22,51012.89125,54702.1875,58596.47,62412.935,66134.5325,70112.53,74006.4875
