,Predicción_605442307,Predicción_605443194,Predicción_605444971,Predicción_605446435,Predicción_605447212,Predicción_605448009,Predicción_605449886,Predicción_605450612,Predicción_605451409,Predicción_605452286,Predicción_605453063,Predicción_605454840,Predicción_605455527,Predicción_605456304,Predicción_605457191,Predicción_605458978,Predicción_605459755,Predicción_605460591,Predicción_605461378,Predicción_605462155,Predicción_605463932,Predicción_605464719,Predicción_606562771,Predicción_606563558,Predicción_606564335,Predicción_606565012,Predicción_606566809,Predicción_606567686,Predicción_606568463,Predicción_606569240,Predicción_606570086,Predicción_606571863,Predicción_606572640,Predicción_606573427,Predicción_606574204,Predicción_606575991,Predicción_606576778,Predicción_606577555,Predicción_606578332,Predicción_606579119,Predicción_606580955,Predicción_606581732,Predicción_606582519,Predicción_606583306,Predicción_606584183,Predicción_606585860,Predicción_606586647,Predicción_606587424,Predicción_606588201,Predicción_606589098,Predicción_606591601,Predicción_606592498,Predicción_606593275,Predicción_606594052,Predicción_606597303,Predicción_INTMT_2818
2024-06-29,84596.98525000364,92441.42059090734,138421.98095452785,77440.57622727007,56.33023863635026,113284.56468181818,219048.74209088087,216815.2470909059,989580.7078181818,244478.10681819916,298414.52381816506,40.74235227272948,192930.61829544604,204413.1047500074,40798.04503409099,762420.3367272615,236927.91827272624,495730.86309087276,269356.3647272885,20091.155454546213,58044.28968182206,89681.67777276039,116183.70100000003,71988.95479544997,353396.72500000003,14773.962715909118,295135.54799997807,570235.121090889,154589.1719545722,62449.72179545462,130179.33465909213,295114.4009090811,5498.818125000001,78431.84529545158,239141.48081818223,97361.95136363804,148238.26854546368,57106.13388636336,20.510999999998603,189349.81881818175,1753.2837045454546,379170.5281818211,184440.95181819797,86111.40077273548,473247.21218180656,42.13094318181902,85.59095454546332,30954.585670454548,6731.688318181818,92200.65749999999,37.89152272727006,14.048056818181067,587381.8090909123,73903.85361363739,295272.9056363404,772023.9368171692
2024-06-30,84619.33072727919,92473.49044318497,138496.20213636756,77461.77006817609,56.39195454545552,113284.68447727273,219120.83759090304,216853.26895454526,989580.7215454546,244573.73750001192,298469.28263634443,40.75433522727326,192958.06150567532,204453.70557954907,40799.352767045144,762627.796181798,236953.51086363196,495921.9111818075,269454.9214999974,20111.26451704651,58097.14532954991,89861.63577276468,116183.78347727275,72026.84311363101,353396.72500000003,14774.103500000027,295242.2628181577,570412.80400002,154727.44515913725,62467.554556816816,130190.95136363804,295158.1293181777,5498.82122159091,78456.35559090972,239214.0314090848,97386.25056818128,148286.12345455587,57118.497943181545,20.51824999999735,189400.71127273142,1753.2838579545455,379235.49863636494,184507.19931817055,86145.46080681682,473368.83186364174,42.13998295454803,85.61261931818444,30954.585857954546,6731.688369318183,92200.65749999999,37.90091477272654,14.056284090907866,587560.581818223,73929.95450000465,295340.91490906477,775698.1042366028
2024-07-01,84641.67620454729,92505.56029546261,138570.42331817746,77482.96390908957,56.453670454531675,113284.80427272728,219192.9330908954,216891.2908181846,989580.7352727273,244669.36818182468,298524.0414545238,40.76631818181704,192985.5047158897,204494.30640909076,40800.660499999765,762835.255636394,236979.10345454514,496112.95927268267,269553.4782727361,20131.37357954681,58150.000977277756,90041.59377276897,116183.86595454547,72064.73143181205,353396.72500000003,14774.244284090935,295348.9776363671,570590.4869090915,154865.7183636427,62485.38731817901,130202.56806818023,295201.8577272743,5498.824318181819,78480.8658863604,239286.58199998736,97410.54977272451,148333.97836364806,57130.86199999973,20.525499999999738,189451.6037272811,1753.2840113636364,379300.46909090877,184573.44681817293,86179.52084091306,473490.4515454769,42.149022727273405,85.63428409091284,30954.586045454547,6731.688420454546,92200.65749999999,37.91030681817938,14.064511363634665,587739.354545474,73956.05538636446,295408.92418178916,779372.2716560364
